Sex_M	Age	Age2	pEUR	Height	PRS0	f1	f2	R2_PRS0	Rep	Label2	SE_PRS0	ss1	Test_Data	N	Label
1	47.5	2256.25	0.065265	193.04	1.05156263575739	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	1.868	1000	all	0.3	PRS_META_AFR	PMBB_AFR	41109	META_AFR
1	47.5	2256.25	0.065265	193.04	1.24715700297238	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	1.807	1000	pEUR<0.17	0.412	PRS_META_AFR	PMBB_AFR	41109	META_AFR
1	33.3	1108.89	0.27116	190.5	0.469678500104366	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	1.903	1000	pEUR>0.17	0.397	PRS_META_AFR	PMBB_AFR	41109	META_AFR
1	47.5	2256.25	0.065265	193.04	1.12899050065154	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.366	1000	all	0.307	PRS_META_AFR2	PMBB_AFR	90890	META_AFR+PAGE
1	47.5	2256.25	0.065265	193.04	1.13699545488333	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.605	1000	pEUR<0.17	0.467	PRS_META_AFR2	PMBB_AFR	90890	META_AFR+PAGE
1	33.3	1108.89	0.27116	190.5	1.16888110335906	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.2	1000	pEUR>0.17	0.452	PRS_META_AFR2	PMBB_AFR	90890	META_AFR+PAGE
1	47.5	2256.25	0.065265	193.04	-1.15736304408052	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.667	1000	all	0.445	PRS_UKBB	PMBB_AFR	360388	UKBB
1	47.5	2256.25	0.065265	193.04	-1.2226481942411	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.117	1000	pEUR<0.17	0.528	PRS_UKBB	PMBB_AFR	360388	UKBB
1	33.3	1108.89	0.27116	190.5	-0.610663581487516	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	6.224	1000	pEUR>0.17	0.693	PRS_UKBB	PMBB_AFR	360388	UKBB
1	47.5	2256.25	0.065265	193.04	-0.717692582144002	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.749	1000	all	0.367	PRS_GIANT	PMBB_AFR	253280	GIANT
1	47.5	2256.25	0.065265	193.04	-0.510677947793136	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.756	1000	pEUR<0.17	0.494	PRS_GIANT	PMBB_AFR	253280	GIANT
1	33.3	1108.89	0.27116	190.5	-1.62466118021622	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.665	1000	pEUR>0.17	0.628	PRS_GIANT	PMBB_AFR	253280	GIANT
1	47.5	2256.25	0.065265	193.04	0.645887990109203	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.439	1000	all	0.385	PRS_PAGE	PMBB_AFR	49781	PAGE
1	47.5	2256.25	0.065265	193.04	0.706246973046431	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.318	1000	pEUR<0.17	0.528	PRS_PAGE	PMBB_AFR	49781	PAGE
1	33.3	1108.89	0.27116	190.5	1.10663994419743	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.574	1000	pEUR>0.17	0.56	PRS_PAGE	PMBB_AFR	49781	PAGE
1	47.5	2256.25	0.065265	193.04	-0.150479760047207	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.882	1000	all	0.354	PRS_BBJ	PMBB_AFR	159095	BBJ
1	47.5	2256.25	0.065265	193.04	-0.139344651773992	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.601	1000	pEUR<0.17	0.478	PRS_BBJ	PMBB_AFR	159095	BBJ
1	33.3	1108.89	0.27116	190.5	0.203000498831232	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.144	1000	pEUR>0.17	0.505	PRS_BBJ	PMBB_AFR	159095	BBJ
1	47.5	2256.25	0.065265	193.04	-0.613043288913612	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	6.052	1000	all	0.517	PRS_META_ALL	PMBB_AFR	610373	UKBB+BBJ+META_AFR+PAGE
1	47.5	2256.25	0.065265	193.04	-0.640573559004178	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.6	1000	pEUR<0.17	0.613	PRS_META_ALL	PMBB_AFR	610373	UKBB+BBJ+META_AFR+PAGE
1	33.3	1108.89	0.27116	190.5	-0.654896220160719	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	7.42	1000	pEUR>0.17	0.774	PRS_META_ALL	PMBB_AFR	610373	UKBB+BBJ+META_AFR+PAGE
